cod_ibge,municipio,ano,G06A,G12A,POP_TOT,AG001,AG006,AG010,AG019,AG024,ES001,ES005,ES006,ES013,ES014,ES015,ES026,CO119,CO164,CS001,CS026,CD_MUN,EDOC_AGSN,EDOC_total,CodMun,Mhab18,Mhab182,Mhab183,Mhab201,Mhab202,Mhab203,Mhab204,Mhab205,Mhab206,Mhab207,Mhab21,Mhab191,Mhab192,Mhab193,Mhab194,Mtra181,Mtra182,Mtra183,Mtra184,Mtra185,Mtra186,Mtra187,Mtra19,Mtra23,Mtra086,Mtra21,Mtra221,Mtra222,Mtra223,Mtra085,Mtra24,Mtra25,Acesso_SCM,Acesso_SCM_12Mbps,QNTD_EST,3G,4G,fornecedores,MTIP07,MTIP081,MTIP082,MTIP083,MTIP09,MTIP101,MTIP102,MTIP103,MTIP104,MTIP105,MTIP106,MTIP11,MTIP121,MTIP122,MTIP123,MTIP13,MTIP141,MTIP142,ESC_MUN,IN_LABORATORIO_INFORMATICA,IN_EQUIP_LOUSA_DIGITAL,IN_EQUIP_MULTIMIDIA,IN_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,IN_TABLET_ALUNO,IN_INTERNET_APRENDIZAGEM_ALUNOS,IN_INTERNET,QT_DESKTOP_ALUNO,QT_COMP_PORTATIL_ALUNO,QT_MATRICULAS,DIST_IDADE_SERIE,QT_VAGA_TOTAL,TX_ANALF,GINI,Medu131,Medu132,Medu133,Medu134,Medu114,Mcul3901,Mcul3902,Mcul3903,Mcul3904,Mcul3905,Mcul3906,Mcul3907,Mcul3908,Mcul3909,Mcul3910,Mcul3911,Mcul3912,Mcul3913,Mcul3914,Mcul3916,Mcul3917,Mcul3918,Mcul3919,Mcul40,Mcul15,Mcul161,Mcul162,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,E3,F3,A4,B4,C4,D4,E4,A5,B5,C5,D5,E5,F5,A6,B6,C6,D6,E6,F6,A7,B7,C7,A8,B8,C8,D8,E8,F8,G8,A9,B9,C9,D9,E9,F9,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,A12,B12,A13,B13,C13,D13,E13,A14,B14,C14,D14,E14,A15,B15,C15,D15,E15,F15,G15,A16,B16,C16,A17,B17,C17,D17,E17,F17,G17,A18,B18,C18,D18,E18,A19,B19,C19,A20,B20,C20,D20,A21,B21,C21,D21,E21,G21,H21,I21,J21,K21,L21,A22,B22,C22,D22,A23,B23,C23,D23,A24,B24,NUM_LEITOS_PUB,NUM_MED,NVBP,NVPN,TOT_NV,TX_HOMIC,MASS2411,MASS2418,MASS2614,MASS261,MASS262,MASS263,MASS264,MASS265,MASS266,MASS267,MASS268,MASS269,MASS2610,MASS2611,MASS2612,MASS2613,MASS2614_1,MPPM01,MPPM101,MPPM102,MPPM103,MPPM104,MPPM105,Mgrd01,Mgrd06,Mgrd07,Mgrd08,Mgrd11,Mgrd14,Mmam10,Mmam16,Mmam18,Mmam203,Mmam204,Mmam207,Mmam208,Mmam209,Mmam2010,A100,A107,A108,A109,A110,A111,A113,total_pavimentacao,existe_pavimentacao
5200258,Águas Lindas de Goiás,2022,nan,225693,225693,208892,13438.65,0,115.57,162555,3350.85,2964.16,0,0,0,nan,57650,208577,0,nan,nan,5200258,3507.0,62499,5200258,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,32296.1818181818,30776.3636363636,182,1,1,7,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,47,19.0,0.0,34.0,38.0,16.0,5.0,38.0,47.0,419.0,44.0,20964.0,20.95,3391,7,0.4516,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,52,1905,332.0,1161.0,3126,23.54,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0
5200308,"Alexânia ",2022,nan,27008,27008,23584,1361.87,0,11.71,nan,nan,nan,nan,nan,nan,nan,17100,23705,0,nan,nan,5200308,nan,8719,5200308,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,3477.81818181818,2090.54545454545,41,1,1,7,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,20,4.0,1.0,14.0,8.0,6.0,0.0,18.0,18.0,32.0,10.0,3231.0,10.15,0,10.3,0.4817,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34,375,49.0,112.0,401,50.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0
5205497,Cidade Ocidental,2022,nan,91767,91767,57770,5750.5,0,49.45,35828,1142.17,1142.17,0,0,0,nan,27407,76123,0,nan,nan,5205497,nan,29416,5205497,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,17726.8181818182,17365.3636363636,79,1,1,7,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,26,14.0,0.0,19.0,19.0,14.0,1.0,19.0,25.0,327.0,23.0,13478.0,17.4,0,4.8,0.5247,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101,681,120.0,284.0,1182,42.03,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0
5205513,Cocalzinho de Goias,2022,nan,25016,25016,17488,698.54,0,9.75,nan,nan,nan,nan,nan,nan,nan,5032.4,8891,1,63.4,nan,5205513,792.0,6579,5205513,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2336.09090909091,1772.18181818182,26,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7.0,0.0,7.0,5.0,1.0,0.0,6.0,7.0,75.0,5.0,2773.0,17.0,0,12.9,0.4911,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22,336,13.0,65.0,222,14.82,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0
5206206,Cristalina,2022,nan,62337,62337,47033,1820.91,0,25.1,24008,952.93,952.93,0,0,0,nan,15468,50000,0,nan,nan,5206206,540.0,17325,5206206,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,7528.63636363636,6354.81818181818,71,1,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15.0,0.0,20.0,19.0,11.0,1.0,24.0,26.0,162.0,19.0,7961.0,15.100000000000001,860,8.7,0.5753,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,55,829,91.0,205.0,970,54.24,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
5208004,Formosa,2022,nan,115901,115901,112542,5066.02,0,63.28,103477,4264.28,4264.28,0,0,0,nan,52580.8,115669,0,nan,nan,5208004,90.0,33573,5208004,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,12851.4545454545,10746.5454545455,128,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,14.0,5.0,36.0,26.0,22.0,2.0,32.0,50.0,144.0,41.0,12831.0,14.95,3990,8.6,0.5614,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,178,2163,163.0,431.0,1612,34.53,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
5212501,Luziania,2022,nan,209129,209129,196416,6796.93,0,101.29,45893,1885.85,1885.84,0,0,0,nan,39477,180000,0,nan,nan,5212501,1709.0,62924,5212501,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,23091.5454545455,20726.4545454545,235,1,1,8,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,63,15.0,2.0,47.0,32.0,42.0,5.0,44.0,62.0,271.0,110.0,21816.0,19.25,2885,8,0.5128,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,2625,322.0,1109.0,2915,35.53,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
5215231,Novo Gama,2022,nan,103804,103804,97976,3841.97,0,56,46413,1411.12,1411.12,0,0,0,nan,9636,94730,0,nan,nan,5215231,3962.0,30644,5215231,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,11379,10499.7272727273,127,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,7.0,1.0,26.0,26.0,4.0,0.0,21.0,33.0,58.0,7.0,10048.0,22.950000000000003,842,7.3,0.4945,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,11,722,151.0,450.0,1296,34.57,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0
5215603,Padre Bernardo,2022,nan,34967,34967,16487,787.64,0,11.06,13375,534.99,534.96,0,0,0,nan,13230,13375,0,nan,nan,5215603,653.0,10586,5215603,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,825.909090909091,502.727272727273,45,1,1,5,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,22,13.0,6.0,13.0,13.0,7.0,2.0,14.0,21.0,87.0,11.0,4522.0,23.9,0,13.1,0.5716,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29,362,35.0,130.0,435,32.51,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
5217609,Planaltina,2022,nan,105031,105031,88107,3803.99,0,56.74,86896,2839.08,2839.07,0,0,0,nan,72358.4,102285,0,nan,nan,5217609,774.0,29087,5217609,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,14962.9090909091,12604.5454545455,103,1,1,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,23.0,2.0,26.0,20.0,18.0,3.0,27.0,40.0,127.0,397.0,16278.0,22.85,0,9.8,0.4463,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,976,141.0,548.0,1508,47.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
5219753,Santo Antônio do Descoberto,2022,nan,72127,72127,68654,2409.2,0,34.52,43948,1366.1,1366.1,0,0,0,nan,44000,62000,0,nan,nan,5219753,774.0,21195,5219753,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,7224.72727272727,6845.45454545455,81,1,1,7,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,44,6.0,3.0,14.0,12.0,14.0,0.0,14.0,29.0,111.0,26.0,9472.0,24.45,0,8.7,0.4702,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114,583,111.0,343.0,884,42.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0
5221858,Valparaíso de Goiás,2022,nan,198861,198861,177276,7605.93,0,92.92,94734,3028.15,3028.15,0,0,0,nan,60000,196967,0,nan,nan,5221858,1319.0,64205,5221858,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,48629,46928.2727272727,177,1,1,7,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,54,9.0,0.0,44.0,25.0,18.0,5.0,43.0,49.0,140.0,60.0,24107.0,15.05,2229,3.4,0.5264,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,73,2105,251.0,792.0,2320,32.65,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
